tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,budget,openingweekend,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western
tt0035423,movie,Kate & Leopold,Kate & Leopold,0,2001,\N,118,48000000.0,2562448.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
tt0118589,movie,Glitter,Glitter,0,2001,\N,104,22000000.0,2414596.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
tt0120467,movie,Vulgar,Vulgar,0,2000,\N,87,120000.0,9377.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
tt0120630,movie,Chicken Run,Chicken Run,0,2000,\N,84,45000000.0,17506162.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0120667,movie,Fantastic Four,Fantastic Four,0,2005,\N,106,100000000.0,56061504.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
tt0120679,movie,Frida,Frida,0,2002,\N,123,12000000.0,205996.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
tt0120681,movie,From Hell,From Hell,0,2001,\N,122,35000000.0,11014818.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
tt0120737,movie,The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Fellowship of the Ring,0,2001,\N,178,93000000.0,66114741.0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
tt0120753,movie,The Million Dollar Hotel,The Million Dollar Hotel,0,2000,\N,122,8000000.0,29483.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
tt0120755,movie,Mission: Impossible II,Mission: Impossible II,0,2000,\N,123,125000000.0,57845297.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
tt0120804,movie,Resident Evil,Resident Evil,0,2002,\N,100,33000000.0,17707106.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
tt0120824,movie,The Shipping News,The Shipping News,0,2001,\N,111,35000000.0,318502.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0120903,movie,X-Men,X-Men,0,2000,\N,104,75000000.0,54471475.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
tt0120912,movie,Men in Black II,Men in Black II,0,2002,\N,88,140000000.0,52148751.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0120913,movie,Titan A.E.,Titan A.E.,0,2000,\N,94,75000000.0,9376845.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0120917,movie,The Emperors New Groove,The Emperors New Groove,0,2000,\N,78,100000000.0,9812302.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0121164,movie,Corpse Bride,Corpse Bride,0,2005,\N,77,40000000.0,385078.0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
tt0121765,movie,Star Wars: Episode II - Attack of the Clones,Star Wars: Episode II - Attack of the Clones,0,2002,\N,142,115000000.0,80027814.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
tt0121766,movie,Star Wars: Episode III - Revenge of the Sith,Star Wars: Episode III - Revenge of the Sith,0,2005,\N,140,113000000.0,108435841.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
tt0122459,movie,Return to Me,Return to Me,0,2000,\N,115,24000000.0,7820836.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
tt0125022,movie,Heartbreakers,Heartbreakers,0,2001,\N,123,35000000.0,11801323.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
tt0126029,movie,Shrek,Shrek,0,2001,\N,90,60000000.0,42347760.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0127349,movie,Waking the Dead,Waking the Dead,0,2000,\N,105,8500000.0,150422.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
tt0130623,movie,Dinosaur,Dinosaur,0,2000,\N,82,127500000.0,38854851.0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
tt0131704,movie,The Adventures of Rocky & Bullwinkle,The Adventures of Rocky & Bullwinkle,0,2000,\N,92,76000000.0,6814270.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0132245,movie,Driven,Driven,0,2001,\N,116,94000000.0,12174504.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
tt0133152,movie,Planet of the Apes,Planet of the Apes,0,2001,\N,119,100000000.0,68532960.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
tt0133240,movie,Treasure Planet,Treasure Planet,0,2002,\N,95,140000000.0,12083248.0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
tt0134084,movie,Scream 3,Scream 3,0,2000,\N,116,40000000.0,34713342.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
tt0134630,movie,Duets,Duets,0,2000,\N,112,15000000.0,2002588.0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
tt0134847,movie,Pitch Black,Pitch Black,0,2000,\N,109,23000000.0,14015741.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
tt0134983,movie,Supernova,Supernova,0,2000,\N,90,90000000.0,6731940.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
tt0138524,movie,Intolerable Cruelty,Intolerable Cruelty,0,2003,\N,100,60000000.0,12525075.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
tt0138946,movie,The Yards,The Yards,0,2000,\N,115,24000000.0,57339.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
tt0139654,movie,Training Day,Training Day,0,2001,\N,122,45000000.0,22550788.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
tt0141399,movie,Isnt She Great,Isnt She Great,0,2000,\N,95,44000000.0,1368705.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
tt0144084,movie,American Psycho,American Psycho,0,2000,\N,102,7000000.0,4961015.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0144528,movie,Nutty Professor II: The Klumps,Nutty Professor II: The Klumps,0,2000,\N,106,84000000.0,42518830.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
tt0145487,movie,Spider-Man,Spider-Man,0,2002,\N,121,139000000.0,114844116.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0145937,movie,Naqoyqatsi,Naqoyqatsi,0,2002,\N,89,3000000.0,17154.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
tt0146309,movie,Thirteen Days,Thirteen Days,0,2000,\N,145,80000000.0,46668.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
tt0146316,movie,Lara Croft: Tomb Raider,Lara Croft: Tomb Raider,0,2001,\N,100,115000000.0,47735743.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
tt0146882,movie,High Fidelity,High Fidelity,0,2000,\N,113,30000000.0,6429107.0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
tt0146984,movie,The Legend of Bagger Vance,The Legend of Bagger Vance,0,2000,\N,126,80000000.0,11516712.0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
tt0149367,movie,Where the Money Is,Where the Money Is,0,2000,\N,89,28000000.0,2513530.0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0151685,movie,Love,My Fathers Love,0,2001,\N,110,1000000.0,55000.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0156841,movie,The Next Best Thing,The Next Best Thing,0,2000,\N,108,25000000.0,5870387.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
tt0157472,movie,Clockstoppers,Clockstoppers,0,2002,\N,94,26000000.0,10108333.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0158622,movie,The Flintstones in Viva Rock Vegas,The Flintstones in Viva Rock Vegas,0,2000,\N,90,83000000.0,10518435.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
tt0160127,movie,Charlies Angels,Charlies Angels,0,2000,\N,98,93000000.0,40128550.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0160498,movie,Luminarias,Luminarias,0,2000,\N,100,1000000.0,122158.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
tt0162346,movie,Ghost World,Ghost World,0,2001,\N,111,7000000.0,98791.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0234829,movie,Summer Catch,Summer Catch,0,2001,\N,108,34000000.0,7018593.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
tt0237572,movie,The Pledge,The Pledge,0,2001,\N,124,35000000.0,5765347.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
tt0238380,movie,Equilibrium,Equilibrium,0,2002,\N,107,20000000.0,541512.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
tt0238546,movie,Queen of the Damned,Queen of the Damned,0,2002,\N,101,35000000.0,14757535.0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
tt0238948,movie,Double Take,Double Take,0,2001,\N,88,24000000.0,4650.0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0239395,movie,Cats & Dogs,Cats & Dogs,0,2001,\N,87,60000000.0,21707617.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
tt0239949,movie,Say It Isnt So,Say It Isnt So,0,2001,\N,95,25000000.0,2861903.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
