,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western,budget,openingweekend
0,tt0035423,movie,Kate & Leopold,Kate & Leopold,0,2001,\N,118,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,48000000.0,2562448.0
1,tt0118589,movie,Glitter,Glitter,0,2001,\N,104,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,22000000.0,2414596.0
2,tt0120467,movie,Vulgar,Vulgar,0,2000,\N,87,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,120000.0,9377.0
3,tt0120630,movie,Chicken Run,Chicken Run,0,2000,\N,84,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45000000.0,17506162.0
4,tt0120667,movie,Fantastic Four,Fantastic Four,0,2005,\N,106,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,100000000.0,56061504.0
5,tt0120679,movie,Frida,Frida,0,2002,\N,123,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,12000000.0,205996.0
6,tt0120681,movie,From Hell,From Hell,0,2001,\N,122,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,35000000.0,11014818.0
7,tt0120737,movie,The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Fellowship of the Ring,0,2001,\N,178,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,93000000.0,66114741.0
8,tt0120753,movie,The Million Dollar Hotel,The Million Dollar Hotel,0,2000,\N,122,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,8000000.0,29483.0
9,tt0120755,movie,Mission: Impossible II,Mission: Impossible II,0,2000,\N,123,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,125000000.0,57845297.0
10,tt0120804,movie,Resident Evil,Resident Evil,0,2002,\N,100,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,33000000.0,17707106.0
11,tt0120824,movie,The Shipping News,The Shipping News,0,2001,\N,111,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,35000000.0,318502.0
12,tt0120903,movie,X-Men,X-Men,0,2000,\N,104,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,75000000.0,54471475.0
13,tt0120912,movie,Men in Black II,Men in Black II,0,2002,\N,88,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140000000.0,52148751.0
14,tt0120913,movie,Titan A.E.,Titan A.E.,0,2000,\N,94,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75000000.0,9376845.0
15,tt0120917,movie,The Emperor's New Groove,The Emperor's New Groove,0,2000,\N,78,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100000000.0,9812302.0
16,tt0121164,movie,Corpse Bride,Corpse Bride,0,2005,\N,77,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,40000000.0,385078.0
17,tt0121765,movie,Star Wars: Episode II - Attack of the Clones,Star Wars: Episode II - Attack of the Clones,0,2002,\N,142,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,115000000.0,80027814.0
18,tt0121766,movie,Star Wars: Episode III - Revenge of the Sith,Star Wars: Episode III - Revenge of the Sith,0,2005,\N,140,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,113000000.0,108435841.0
19,tt0122459,movie,Return to Me,Return to Me,0,2000,\N,115,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,24000000.0,7820836.0
20,tt0125022,movie,Heartbreakers,Heartbreakers,0,2001,\N,123,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,35000000.0,11801323.0
21,tt0126029,movie,Shrek,Shrek,0,2001,\N,90,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60000000.0,42347760.0
22,tt0127349,movie,Waking the Dead,Waking the Dead,0,2000,\N,105,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,8500000.0,150422.0
23,tt0130623,movie,Dinosaur,Dinosaur,0,2000,\N,82,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,127500000.0,38854851.0
