tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western,budget,openingweekend
tt0035423,movie,Kate & Leopold,Kate & Leopold,0,2001,\N,118,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,48000000.0,2562448.0
tt0118589,movie,Glitter,Glitter,0,2001,\N,104,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,22000000.0,2414596.0
tt0120467,movie,Vulgar,Vulgar,0,2000,\N,87,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,120000.0,9377.0
tt0120630,movie,Chicken Run,Chicken Run,0,2000,\N,84,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45000000.0,17506162.0
tt0120667,movie,Fantastic Four,Fantastic Four,0,2005,\N,106,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,100000000.0,56061504.0
tt0120679,movie,Frida,Frida,0,2002,\N,123,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,12000000.0,205996.0
tt0120681,movie,From Hell,From Hell,0,2001,\N,122,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,35000000.0,11014818.0
tt0120737,movie,The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Fellowship of the Ring,0,2001,\N,178,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,93000000.0,66114741.0
tt0120753,movie,The Million Dollar Hotel,The Million Dollar Hotel,0,2000,\N,122,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,8000000.0,29483.0
tt0120755,movie,Mission: Impossible II,Mission: Impossible II,0,2000,\N,123,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,125000000.0,57845297.0
tt0120804,movie,Resident Evil,Resident Evil,0,2002,\N,100,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,33000000.0,17707106.0
tt0120824,movie,The Shipping News,The Shipping News,0,2001,\N,111,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,35000000.0,318502.0
tt0120903,movie,X-Men,X-Men,0,2000,\N,104,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,75000000.0,54471475.0
tt0120912,movie,Men in Black II,Men in Black II,0,2002,\N,88,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140000000.0,52148751.0
tt0120913,movie,Titan A.E.,Titan A.E.,0,2000,\N,94,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75000000.0,9376845.0
tt0120917,movie,The Emperor's New Groove,The Emperor's New Groove,0,2000,\N,78,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100000000.0,9812302.0
tt0121164,movie,Corpse Bride,Corpse Bride,0,2005,\N,77,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,40000000.0,385078.0
tt0121765,movie,Star Wars: Episode II - Attack of the Clones,Star Wars: Episode II - Attack of the Clones,0,2002,\N,142,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,115000000.0,80027814.0
tt0121766,movie,Star Wars: Episode III - Revenge of the Sith,Star Wars: Episode III - Revenge of the Sith,0,2005,\N,140,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,113000000.0,108435841.0
tt0122459,movie,Return to Me,Return to Me,0,2000,\N,115,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,24000000.0,7820836.0
tt0125022,movie,Heartbreakers,Heartbreakers,0,2001,\N,123,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,35000000.0,11801323.0
tt0126029,movie,Shrek,Shrek,0,2001,\N,90,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60000000.0,42347760.0
tt0127349,movie,Waking the Dead,Waking the Dead,0,2000,\N,105,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,8500000.0,150422.0
tt0130623,movie,Dinosaur,Dinosaur,0,2000,\N,82,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,127500000.0,38854851.0
tt0131704,movie,The Adventures of Rocky & Bullwinkle,The Adventures of Rocky & Bullwinkle,0,2000,\N,92,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76000000.0,6814270.0
tt0132245,movie,Driven,Driven,0,2001,\N,116,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,94000000.0,12174504.0
tt0133240,movie,Treasure Planet,Treasure Planet,0,2002,\N,95,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,140000000.0,12083248.0
tt0134084,movie,Scream 3,Scream 3,0,2000,\N,116,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,40000000.0,34713342.0
tt0134630,movie,Duets,Duets,0,2000,\N,112,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,15000000.0,2002588.0
tt0134847,movie,Pitch Black,Pitch Black,0,2000,\N,109,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,23000000.0,14015741.0
tt0134983,movie,Supernova,Supernova,0,2000,\N,90,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,90000000.0,6731940.0
tt0141907,movie,Town & Country,Town & Country,0,2001,\N,104,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,90000000.0,3029858.0
tt0144528,movie,Nutty Professor II: The Klumps,Nutty Professor II: The Klumps,0,2000,\N,106,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,84000000.0,42518830.0
tt0146309,movie,Thirteen Days,Thirteen Days,0,2000,\N,145,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,80000000.0,46668.0
tt0146984,movie,The Legend of Bagger Vance,The Legend of Bagger Vance,0,2000,\N,126,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,80000000.0,11516712.0
tt0161081,movie,What Lies Beneath,What Lies Beneath,0,2000,\N,130,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,100000000.0,29702959.0
tt0241303,movie,Chocolat,Chocolat,0,2000,\N,121,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,25000000.0,3093590.0
tt0243155,movie,Bridget Jones's Diary,Bridget Jones's Diary,0,2001,\N,97,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,25000000.0,10733933.0
tt0244094,movie,Never Again,Never Again,0,2001,\N,98,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,500000.0,33088.0
tt0244709,movie,Pavilion of Women,Pavilion of Women,0,2001,\N,116,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,5000000.0,16368.0
tt0244970,movie,Someone Like You...,Someone Like You...,0,2001,\N,97,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,23000000.0,10010600.0
tt0245046,movie,Charlotte Gray,Charlotte Gray,0,2001,\N,121,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,20000000.0,37258.0
tt0245674,movie,Thir13en Ghosts,Thir13en Ghosts,0,2001,\N,91,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,42000000.0,15165355.0
tt0245686,movie,Joe Dirt,Joe Dirt,0,2001,\N,91,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17700000.0,8016008.0
tt0246894,movie,Rollerball,Rollerball,0,2002,\N,98,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,70000000.0,9013548.0
tt0250323,movie,The Deep End,The Deep End,0,2001,\N,101,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3000000.0,141852.0
tt0250494,movie,Legally Blonde,Legally Blonde,0,2001,\N,96,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,18000000.0,20377426.0
tt0252076,movie,Maid in Manhattan,Maid in Manhattan,0,2002,\N,105,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,55000000.0,18711407.0
tt0328538,movie,Thirteen,Thirteen,0,2003,\N,100,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1500000.0,116260.0
tt0331953,movie,Club Dread,Club Dread,0,2004,\N,104,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,8600000.0,3000000.0
tt0332047,movie,Fever Pitch,Fever Pitch,0,2005,\N,104,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,30000000.0,12400125.0
tt0332605,movie,House of Fools,Dom durakov,0,2002,\N,104,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,2500000.0,7246.0
tt0340855,movie,Monster,Monster,0,2003,\N,109,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4500000.0,86831.0
tt0342258,movie,Unleashed,Unleashed,0,2005,\N,103,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,45000000.0,10900901.0
tt0345061,movie,Code 46,Code 46,0,2003,\N,93,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,7500000.0,20170.0
tt0348836,movie,Gothika,Gothika,0,2003,\N,98,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,40000000.0,19288438.0
tt0407304,movie,War of the Worlds,War of the Worlds,0,2005,\N,116,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,132000000.0,77061953.0
tt0414993,movie,The Fountain,The Fountain,0,2006,\N,96,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,35000000.0,3768702.0
tt0415141,movie,Mama's Boy,Mama's Boy,0,2007,\N,93,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15000000.0,13939.0
tt0415306,movie,Talladega Nights: The Ballad of Ricky Bobby,Talladega Nights: The Ballad of Ricky Bobby,0,2006,\N,108,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,72500000.0,47042215.0
tt0415689,movie,Ouija Board,Bunshinsaba,0,2004,\N,92,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,2500000.0,187845.0
tt0415833,movie,Hate Crime,Hate Crime,0,2005,\N,103,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,500000.0,3303.0
tt0415856,movie,Hounddog,Hounddog,0,2007,\N,102,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3750000.0,13744.0
tt0415940,movie,Countdown,Lichnyy nomer,0,2004,\N,100,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7000000.0,1563192.0
tt0415965,movie,Martian Child,Martian Child,0,2007,\N,106,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,27000000.0,3376669.0
tt0415978,movie,Me and You and Everyone We Know,Me and You and Everyone We Know,0,2005,\N,91,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2000000.0,30801.0
tt0416044,movie,Mongol: The Rise of Genghis Khan,Mongol,0,2007,\N,126,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,20000000.0,135526.0
tt0416080,movie,Everybody Has a Little Secret,Nuguna bimileun itda,0,2004,\N,105,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4400000.0,24615.0
tt0416185,movie,Resurrecting the Champ,Resurrecting the Champ,0,2007,\N,112,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,13000000.0,1667659.0
tt0416212,movie,The Secret Life of Bees,The Secret Life of Bees,0,2008,\N,114,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11000000.0,10527799.0
tt0416236,movie,The Spiderwick Chronicles,The Spiderwick Chronicles,0,2008,\N,96,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,90000000.0,24740537.0
tt0416315,movie,Wolf Creek,Wolf Creek,0,2005,\N,99,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1000000.0,4908206.0
tt0416316,movie,Wolfhound,Volkodav iz roda Serykh Psov,0,2006,\N,136,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20000000.0,7591663.0
tt0416320,movie,Match Point,Match Point,0,2005,\N,124,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,15000000.0,529434.0
tt0416449,movie,300,300,0,2006,\N,117,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,65000000.0,70885301.0
tt0416508,movie,Becoming Jane,Becoming Jane,0,2007,\N,120,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,16500000.0,2902117.0
tt0416887,movie,Kalamazoo?,Kalamazoo?,0,2006,\N,107,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000000.0,9375.0
tt0417001,movie,Must Love Dogs,Must Love Dogs,0,2005,\N,98,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,30000000.0,12855321.0
tt0417148,movie,Snakes on a Plane,Snakes on a Plane,0,2006,\N,105,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33000000.0,15206301.0
tt0417217,movie,Two for the Money,Two for the Money,0,2005,\N,122,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,20000000.0,8703240.0
