tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,budget,openingweekend
tt0035423,movie,Kate & Leopold,Kate & Leopold,0,2001,\N,118,"Comedy,Fantasy,Romance",48000000.0,2562448.0
tt0118589,movie,Glitter,Glitter,0,2001,\N,104,"Drama,Music,Romance",22000000.0,2414596.0
tt0120467,movie,Vulgar,Vulgar,0,2000,\N,87,"Crime,Drama,Thriller",120000.0,9377.0
tt0120630,movie,Chicken Run,Chicken Run,0,2000,\N,84,"Adventure,Animation,Comedy",45000000.0,17506162.0
tt0120667,movie,Fantastic Four,Fantastic Four,0,2005,\N,106,"Action,Adventure,Family",100000000.0,56061504.0
tt0120679,movie,Frida,Frida,0,2002,\N,123,"Biography,Drama,Romance",12000000.0,205996.0
tt0120681,movie,From Hell,From Hell,0,2001,\N,122,"Horror,Mystery,Thriller",35000000.0,11014818.0
tt0120737,movie,The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Fellowship of the Ring,0,2001,\N,178,"Adventure,Drama,Fantasy",93000000.0,66114741.0
tt0120753,movie,The Million Dollar Hotel,The Million Dollar Hotel,0,2000,\N,122,"Drama,Mystery,Thriller",8000000.0,29483.0
tt0120755,movie,Mission: Impossible II,Mission: Impossible II,0,2000,\N,123,"Action,Adventure,Thriller",125000000.0,57845297.0
tt0120804,movie,Resident Evil,Resident Evil,0,2002,\N,100,"Action,Horror,Sci-Fi",33000000.0,17707106.0
tt0120824,movie,The Shipping News,The Shipping News,0,2001,\N,111,Drama,35000000.0,318502.0
tt0120903,movie,X-Men,X-Men,0,2000,\N,104,"Action,Adventure,Sci-Fi",75000000.0,54471475.0
tt0120912,movie,Men in Black II,Men in Black II,0,2002,\N,88,"Action,Adventure,Comedy",140000000.0,52148751.0
tt0120913,movie,Titan A.E.,Titan A.E.,0,2000,\N,94,"Action,Adventure,Animation",75000000.0,9376845.0
tt0120917,movie,The Emperors New Groove,The Emperors New Groove,0,2000,\N,78,"Adventure,Animation,Comedy",100000000.0,9812302.0
tt0121164,movie,Corpse Bride,Corpse Bride,0,2005,\N,77,"Animation,Drama,Family",40000000.0,385078.0
tt0121765,movie,Star Wars: Episode II - Attack of the Clones,Star Wars: Episode II - Attack of the Clones,0,2002,\N,142,"Action,Adventure,Fantasy",115000000.0,80027814.0
tt0121766,movie,Star Wars: Episode III - Revenge of the Sith,Star Wars: Episode III - Revenge of the Sith,0,2005,\N,140,"Action,Adventure,Fantasy",113000000.0,108435841.0
tt0122459,movie,Return to Me,Return to Me,0,2000,\N,115,"Comedy,Drama,Romance",24000000.0,7820836.0
tt0125022,movie,Heartbreakers,Heartbreakers,0,2001,\N,123,"Comedy,Crime,Romance",35000000.0,11801323.0
tt0126029,movie,Shrek,Shrek,0,2001,\N,90,"Adventure,Animation,Comedy",60000000.0,42347760.0
tt0127349,movie,Waking the Dead,Waking the Dead,0,2000,\N,105,"Drama,Mystery,Romance",8500000.0,150422.0
tt0130623,movie,Dinosaur,Dinosaur,0,2000,\N,82,"Adventure,Animation,Family",127500000.0,38854851.0
tt0131704,movie,The Adventures of Rocky & Bullwinkle,The Adventures of Rocky & Bullwinkle,0,2000,\N,92,"Adventure,Animation,Comedy",76000000.0,6814270.0
tt0132245,movie,Driven,Driven,0,2001,\N,116,"Action,Drama,Sport",94000000.0,12174504.0
tt0133152,movie,Planet of the Apes,Planet of the Apes,0,2001,\N,119,"Action,Adventure,Sci-Fi",100000000.0,68532960.0
tt0133240,movie,Treasure Planet,Treasure Planet,0,2002,\N,95,"Adventure,Animation,Family",140000000.0,12083248.0
