tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western,budget,openingweekend
tt1240982,movie,Your Highness,Your Highness,0,2011,\N,102,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,49900000.0,9360020.0
tt1241226,movie,Locker 13,Locker 13,0,2014,\N,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,300000.0,2468.0
tt1242432,movie,I Spit on Your Grave,I Spit on Your Grave,0,2010,\N,108,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2000000.0,32064.0
tt1242460,movie,We Need to Talk About Kevin,We Need to Talk About Kevin,0,2011,\N,112,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,7000000.0,42245.0
tt1242544,movie,Last Day of Summer,Last Day of Summer,0,2009,\N,85,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5000000.0,30700.0
tt1242592,movie,Ashland,Ashland,0,2009,\N,111,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1000000.0,575000.0
tt1242599,movie,Bellflower,Bellflower,0,2011,\N,106,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,17000.0,22279.0
tt1243630,movie,Fancypants,Fancypants,0,2011,\N,87,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1200000.0,4227.0
tt1243957,movie,The Tourist,The Tourist,0,2010,\N,103,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,100000000.0,16472458.0
tt1243974,movie,Aloha,Aloha,0,2015,\N,105,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,37000000.0,9670235.0
tt1244659,movie,Extraordinary Measures,Extraordinary Measures,0,2010,\N,106,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,31000000.0,6012594.0
tt1245112,movie,[Rec] 2,[Rec]²,0,2009,\N,85,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,5600000.0,8191.0
